year,name,party
1947,Truman,(D)
1948,Truman,(D)
1949,Truman,(D)
1950,Truman,(D)
1951,Truman,(D)
1952,Truman,(D)
1953,Eisenhower,(R)
1954,Eisenhower,(R)
1955,Eisenhower,(R)
1956,Eisenhower,(R)
1957,Eisenhower,(R)
1958,Eisenhower,(R)
1959,Eisenhower,(R)
1960,Eisenhower,(R)
1961,Kennedy,(D)
1962,Kennedy,(D)
1963,Kennedy,(D)
1964,Johnson,(D)
1965,Johnson,(D)
1966,Johnson,(D)
1967,Johnson,(D)
1968,Johnson,(D)
1969,Nixon,(R)
1970,Nixon,(R)
1971,Nixon,(R)
1972,Nixon,(R)
1973,Nixon,(R)
1974,Nixon,(R)
1975,Ford,(R)
1976,Ford,(R)
1977,Carter,(D)
1978,Carter,(D)
1979,Carter,(D)
1980,Carter,(D)
1981,Reagan,(R)
1982,Reagan,(R)
1983,Reagan,(R)
1984,Reagan,(R)
1985,Reagan,(R)
1986,Reagan,(R)
1987,Reagan,(R)
1988,Reagan,(R)
1989,Bush,(R)
1990,Bush,(R)
1991,Bush,(R)
1992,Bush,(R)
1993,Clinton,(D)
1994,Clinton,(D)
1995,Clinton,(D)
1996,Clinton,(D)
1997,Clinton,(D)
1998,Clinton,(D)
1999,Clinton,(D)
2000,Clinton,(D)
2001,Bush Jr,(R)
2002,Bush Jr,(R)
2003,Bush Jr,(R)
2004,Bush Jr,(R)
2005,Bush Jr,(R)
2006,Bush Jr,(R)
2007,Bush Jr,(R)
2008,Bush Jr,(R)
2009,Obama,(D)
2010,Obama,(D)
2011,Obama,(D)
2012,Obama,(D)
2013,Obama,(D)
2014,Obama,(D)
2015,Obama,(D)
